Country,State,District,X,Y
India,Jharkhand,Ranchi,85.3657,23.3311
India,Jharkhand,Sahibganj,87.6744,25.007
India,Jharkhand,Saraikela-kharsawan,85.9457,22.8421
India,Jharkhand,Simdega,84.5596,22.5777
India,Karnataka,Bagalkot,75.6265,16.218
India,Karnataka,Bangalore,77.5868,12.9423
India,Karnataka,Bangalore Rural,77.5662,13.2178
India,Karnataka,Belgaum,74.8279,16.1178
India,Karnataka,Bellary,76.5306,15.105
India,Karnataka,Bidar,77.2235,17.9502
India,Karnataka,Bijapur,75.9534,16.7915
India,Karnataka,Chamrajnagar,77.0904,11.9487
India,Karnataka,Chikballapura,77.8283,13.5688
India,Karnataka,Chikmagalur,75.6896,13.4494
India,Karnataka,Chitradurga,76.5125,14.1621
India,Karnataka,Dakshina Kannada,75.2668,12.8331
India,Karnataka,Davanagere,75.9313,14.3515
India,Karnataka,Dharwad,75.1563,15.3865
India,Karnataka,Gadag,75.6667,15.4278
India,Karnataka,Gulbarga,76.8672,17.2571
India,Karnataka,Hassan,76.1049,12.9896
India,Karnataka,Haveri,75.4185,14.7345
India,Karnataka,Kodagu,75.7992,12.3187
India,Karnataka,Kolar,78.2085,13.1288
India,Karnataka,Koppal,76.2204,15.558
India,Karnataka,Mandya,76.7905,12.6036
India,Karnataka,Mysore,76.4361,12.2022
India,Karnataka,Raichur,76.8901,16.0856
India,Karnataka,Ramanagara,77.3277,12.67
India,Karnataka,Shimoga,75.1761,14.0523
India,Karnataka,Tumkur,76.9414,13.5135
India,Karnataka,Udupi,74.8828,13.4648
India,Karnataka,Uttara Kannada,74.6239,14.7876
India,Karnataka,Yadgir,76.9112,16.6228
India,Kerala,Alappuzha,76.446,9.4135
India,Kerala,Ernakulam,76.4742,10.0553
India,Kerala,Idukki,77.0133,9.8738
India,Kerala,Kannur,75.5361,11.9924
India,Kerala,Kasaragod,75.1525,12.4594
India,Kerala,Kollam,76.8677,8.9541
India,Kerala,Kottayam,76.6487,9.6283
India,Kerala,Kozhikode,75.8315,11.4808
India,Kerala,Malappuram,76.1516,11.1293
India,Kerala,Palakkad,76.5483,10.7872
India,Kerala,Pathanamthitta,76.9134,9.2761
India,Kerala,Thiruvananthapuram,77.0047,8.6062
India,Kerala,Thrissur,76.3119,10.4656
India,Kerala,Wayanad,76.0916,11.7049
India,Lakshadweep,Lakshadweep,72.9396,10.4513
India,Madhya Pradesh,Agar Malwa,76.0702,23.8339
India,Madhya Pradesh,Alirajpur,74.3677,22.3158
India,Madhya Pradesh,Anuppur,81.872,23.1484
India,Madhya Pradesh,Ashoknagar,77.8694,24.6141
India,Madhya Pradesh,Balaghat,80.3539,21.8813
India,Madhya Pradesh,Barwani,75.0233,21.7896
India,Madhya Pradesh,Betul,77.867,21.8798
India,Madhya Pradesh,Bhind,78.7149,26.4265
India,Madhya Pradesh,Bhopal,77.3918,23.4819
India,Madhya Pradesh,Burhanpur,76.3691,21.3744
India,Madhya Pradesh,Chhatarpur,79.6576,24.8022
India,Madhya Pradesh,Chhindwara,78.85,22.1234
India,Madhya Pradesh,Damoh,79.5205,23.8163
India,Madhya Pradesh,Datia,78.6068,25.8453
India,Madhya Pradesh,Dewas,76.4543,22.7485
India,Madhya Pradesh,Dhar,75.1052,22.5002
India,Madhya Pradesh,Dindori,81.0456,22.8351
India,Madhya Pradesh,East Nimar,76.57,21.9388
India,Madhya Pradesh,Guna,77.1959,24.5593
India,Madhya Pradesh,Gwalior,78.1388,26.045
India,Madhya Pradesh,Harda,77.118,22.2371
India,Madhya Pradesh,Hoshangabad,77.9844,22.5913
India,Madhya Pradesh,Indore,75.7814,22.7163
India,Madhya Pradesh,Jabalpur,79.945,23.1743
India,Madhya Pradesh,Jhabua,74.674,22.8934
India,Madhya Pradesh,Katni,80.3347,23.7037
India,Madhya Pradesh,Mandla,80.4473,22.666
India,Madhya Pradesh,Mandsaur,75.4041,24.215
India,Madhya Pradesh,Morena,77.8609,26.4193
India,Madhya Pradesh,Narsimhapur,79.0813,22.9374
India,Madhya Pradesh,Neemuch,75.1432,24.6092
India,Madhya Pradesh,Panna,80.1855,24.425
India,Madhya Pradesh,Raisen,78.1134,23.2207
India,Madhya Pradesh,Rajgarh,76.7311,23.8654
India,Madhya Pradesh,Ratlam,75.0901,23.5042
India,Madhya Pradesh,Rewa,81.5815,24.7582
India,Madhya Pradesh,Sagar,78.7528,23.8519
India,Madhya Pradesh,Satna,80.8255,24.5361
India,Madhya Pradesh,Sehore,77.1251,22.9948
India,Madhya Pradesh,Seoni,79.6839,22.3173
India,Madhya Pradesh,Shahdol,81.433,23.4633
India,Madhya Pradesh,Shajapur,76.5581,23.3863
India,Madhya Pradesh,Sheopur,77.0048,25.7581
India,Madhya Pradesh,Shivpuri,77.8061,25.3678
India,Madhya Pradesh,Sidhi,81.8274,24.222
India,Madhya Pradesh,Singrauli,82.4128,24.2184
India,Madhya Pradesh,Tikamgarh,78.9396,24.9931
India,Madhya Pradesh,Ujjain,75.6673,23.3352
India,Madhya Pradesh,Umaria,80.9136,23.6065
India,Madhya Pradesh,Vidisha,77.8082,23.8969
India,Madhya Pradesh,West Nimar,75.7745,21.9232
India,Maharashtra,Ahmadnagar,74.6455,19.2332
India,Maharashtra,Akola,77.0446,20.7503
India,Maharashtra,Amravati,77.5687,21.1893
India,Maharashtra,Aurangabad,75.2759,20.0227
India,Maharashtra,Bhandara,79.8692,21.1599
India,Maharashtra,Bid,75.802,18.9251
India,Maharashtra,Buldana,76.4043,20.5108
India,Maharashtra,Chandrapur,79.4378,20.1167
India,Maharashtra,Dhule,74.605,21.1115
India,Maharashtra,Garhchiroli,80.2342,19.7823
India,Maharashtra,Gondiya,80.1548,21.1209
India,Maharashtra,Hingoli,77.1166,19.6153
India,Maharashtra,Jalgaon,75.4913,20.9374
India,Maharashtra,Jalna,75.9826,19.8197
India,Maharashtra,Kolhapur,74.1673,16.4668
India,Maharashtra,Latur,76.7595,18.3735
India,Maharashtra,Mumbai City,72.8373,18.9855
India,Maharashtra,Mumbai Suburban,72.8821,19.1428
India,Maharashtra,Nagpur,79.082,21.1769
India,Maharashtra,Nanded,77.6206,19.1152
India,Maharashtra,Nandurbar,74.2199,21.5472
India,Maharashtra,Nashik,74.0778,20.26
India,Maharashtra,Osmanabad,76.0392,18.1882
India,Maharashtra,Palghar,73.02,19.7909
India,Maharashtra,Parbhani,76.6815,19.2858
India,Maharashtra,Pune,74.0766,18.5705
India,Maharashtra,Raigarh,73.2302,18.5099
India,Maharashtra,Ratnagiri,73.4605,17.2727
India,Maharashtra,Sangli,74.7748,17.1107
India,Maharashtra,Satara,74.1811,17.6678
India,Maharashtra,Sindhudurg,73.743,16.1322
India,Maharashtra,Solapur,75.4852,17.7888
India,Maharashtra,Thane,73.3318,19.36
India,Maharashtra,Wardha,78.5827,20.7963
India,Maharashtra,Washim,77.2165,20.2384
India,Maharashtra,Yavatmal,78.1581,20.0839
India,Manipur,Bishnupur,93.8028,24.5401
India,Manipur,Chandel,94.0955,24.2412
India,Manipur,Churachandpur,93.421,24.3038
India,Manipur,Imphal East,93.7762,24.8063
India,Manipur,Imphal West,93.8776,24.8077
India,Manipur,Senapati,94.0413,25.2016
India,Manipur,Tamenglong,93.5281,24.9514
India,Manipur,Thoubal,93.9735,24.5361
India,Manipur,Ukhrul,94.4356,25.0261
India,Meghalaya,East Garo Hills,90.6747,25.6803
India,Meghalaya,East Khasi Hills,91.801,25.3841
India,Meghalaya,Jaintia Hills,92.3796,25.3685
India,Meghalaya,North Garo Hills,90.5539,25.8831
India,Meghalaya,Ri Bhoi,91.8874,25.8752
India,Meghalaya,South Garo Hills,90.5951,25.3021
India,Meghalaya,South West Garo Hills,89.9363,25.4544
India,Meghalaya,South West Khasi Hills,91.2507,25.3228
India,Meghalaya,West Garo Hills,90.1848,25.6179
India,Meghalaya,West Khasi Hills,91.2611,25.6027
India,Mizoram,Aizawl,92.8881,23.8366
India,Mizoram,Champhai,93.2373,23.5402
India,Mizoram,Kolasib,92.7276,24.2006
India,Mizoram,Lawangtlai,92.712,22.3847
India,Mizoram,Lunglei,92.722,22.9743
India,Mizoram,Mamit,92.4664,23.7521
India,Mizoram,Saiha,93.0146,22.3794
India,Mizoram,Serchhip,92.9471,23.29
India,Nagaland,Dimapur,93.7874,25.7777
India,Nagaland,Kiphire,94.8257,25.8486
India,Nagaland,Kohima,94.1065,25.767
India,Nagaland,Longleng,94.8029,26.5549
India,Nagaland,Mokokchung,94.5317,26.4771
India,Nagaland,Mon,95.0218,26.6846
India,Nagaland,Peren,93.6172,25.4978
India,Nagaland,Phek,94.5382,25.6523
India,Nagaland,Tuensang,94.8885,26.1733
India,Nagaland,Wokha,94.1926,26.1896
India,Nagaland,Zunheboto,94.4866,26.0083
India,NCT of Delhi,West,77.109,28.6465
India,Odisha,Anugul,84.9025,20.981
India,Odisha,Balangir,83.1666,20.5859
India,Odisha,Baleshwar,86.9043,21.4889
India,Odisha,Bargarh,83.3463,21.2166
India,Odisha,Bauda,84.1707,20.6414
India,Odisha,Bhadrak,86.6167,20.9786
India,Odisha,Cuttack,85.6985,20.4436
India,Odisha,Debagarh,84.7973,21.4623
India,Odisha,Dhenkanal,85.5203,20.8201
India,Odisha,Gajapati,84.1533,19.1651
India,Odisha,Ganjam,84.6587,19.6218
India,Odisha,Jagatsinghapur,86.33,20.2163
India,Odisha,Jajapur,86.1467,20.8497
India,Odisha,Jharsuguda,83.9478,21.8028
India,Odisha,Kalahandi,83.1017,19.8619
India,Odisha,Kandhamal,84.0401,20.1226
India,Odisha,Kendrapara,86.6047,20.5469
India,Odisha,Kendujhar,85.6992,21.5323
India,Odisha,Khordha,85.5052,20.0826
India,Odisha,Koraput,82.7072,18.8112
India,Odisha,Malkangiri,81.948,18.2505
India,Odisha,Mayurbhanj,86.4059,21.8907
India,Odisha,Nabarangapur,82.33,19.5825
India,Odisha,Nayagarh,84.9929,20.2062
India,Odisha,Nuapada,82.5709,20.4615
India,Odisha,Puri,85.6984,19.8658
India,Odisha,Rayagada,83.5063,19.355
India,Odisha,Sambalpur,84.2743,21.4475
India,Odisha,Subarnapur,83.8178,20.927
India,Odisha,Sundargarh,84.5039,22.0767
India,Puducherry,Karaikal,79.7965,10.9135
India,Puducherry,Mahe,75.2861,12.0742
India,Puducherry,Puducherry,79.7483,11.9093
India,Puducherry,Yanam,82.241,16.7173
India,Punjab,Amritsar,74.8934,31.7045
India,Punjab,Barnala,75.4933,30.3992
India,Punjab,Bathinda,75.03,30.1841
India,Punjab,Faridkot,74.7679,30.6111
India,Punjab,Fatehgarh Sahib,76.3495,30.6356
India,Punjab,Fazilka,74.1472,30.2574
India,Punjab,Firozpur,74.6617,30.8904
India,Punjab,Gurdaspur,75.2792,31.9137
India,Punjab,Hoshiarpur,75.8446,31.6273
India,Punjab,Jalandhar,75.5537,31.2138
India,Punjab,Kapurthala,75.3898,31.3548
India,Punjab,Ludhiana,75.8241,30.8107
India,Punjab,Mansa,75.4284,29.9107
India,Punjab,Moga,75.158,30.7671
India,Punjab,Muktsar,74.5306,30.2946
India,Punjab,Pathankot,75.6144,32.3027
India,Punjab,Patiala,76.3488,30.284
India,Punjab,Rupnagar,76.4728,31.0625
India,Punjab,Sahibzada Ajit Singh Nagar,76.724,30.6876
India,Punjab,Sangrur,75.8574,30.2155
