ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
61,18-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Maharashtra,Ahmadnagar,74.6455,19.2332,leaf rust,iiwbr newsletter,8,leaf rust
62,18-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Maharashtra,Aurangabad,75.2759,20.0227,leaf rust,iiwbr newsletter,8,leaf rust
63,19-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Karnataka,Bagalkot,75.6265,16.218,stem rust + under rainfed + restricted irrigations,iiwbr newsletter,8,stem rust
64,21-02-20,https://www.tribuneindia.com/news/himachal/yellow-rust-a-threat-to-wheat-crop-in-mandi-kullu-45208,India,Himachal Pradesh,Kullu,77.3844,31.9078,yellow+rust+damage+wheat+propikonazol+one bigha,tribuneindia,8,yellow rust
65,21-02-20,https://www.tribuneindia.com/news/himachal/yellow-rust-a-threat-to-wheat-crop-in-mandi-kullu-45208,India,Himachal Pradesh,Mandi,76.9779,31.6415,yellow+rust+damage+wheat+propikonazol+one bigha,tribuneindia,8,yellow rust
66,25-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Maharashtra,Nashik,74.0778,20.26,leaf rust,iiwbr newsletter,9,leaf rust
67,25-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Karnataka,Dharwad,75.1563,15.3865,stem rust + under rainfed + restricted irrigations,iiwbr newsletter,9,stem rust
68,27-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Karnataka,Gadag,75.6667,15.4278,stem rust + under rainfed + restricted irrigations,iiwbr newsletter,9,stem rust
69,29-02-20,https://www.thenews.com.pk/print/621435-wheat-harvest-seen-down-1-5-million-tons-on-crop-disease,Pakistan,F.A.T.A.,Khyber,71.0608,33.9565,production+1.5 million+tons+less+rust+fungus+diseases+sindh+leaf+stem+stripe,thenews,9,"leaf, stem, stripe rust"
70,29-02-20,https://www.thenews.com.pk/print/621435-wheat-harvest-seen-down-1-5-million-tons-on-crop-disease,Pakistan,Punjab,Lahore,74.3541,31.4682,production+1.5 million+tons+less+rust+fungus+diseases+sindh+leaf+stem+stripe,thenews,9,"leaf, stem, stripe rust"
71,29-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Uttarakhand,Almora,79.489,29.6952,yellow rust + 7 ha + propiconazole 0.1% + 15 days,iiwbr newsletter,9,yellow rust
72,01-03-20,https://www.tribuneindia.com/news/himachal/yellow-rust-attacks-wheat-crop-in-kangra-una-dists-49547,India,Himachal Pradesh,Una,76.1957,31.5827,yellow+rust+shortage+pesticides+spray+tilt+fungicide+wheat,tribuneindia,9,yellow rust
73,01-03-20,https://www.tribuneindia.com/news/himachal/yellow-rust-attacks-wheat-crop-in-kangra-una-dists-49547,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow+rust+shortage+pesticides+spray+tilt+fungicide+wheat,tribuneindia,9,yellow rust
74,01-03-20,https://www.tribuneindia.com/news/himachal/yellow-rust-attacks-wheat-crop-in-kangra-una-dists-49547,India,Himachal Pradesh,Hamirpur,76.511,31.6705,yellow+rust+shortage+pesticides+spray+tilt+fungicide+wheat,tribuneindia,9,yellow rust
75,04-03-20,https://www.tribuneindia.com/news/haryana/yellow-rust-on-1-666-acres-in-ynagar-51171,India,Haryana,Yamunanagar,77.3303,30.2575,"yellow+rust+wheat+1,666 acres+drop+yield+310+293+268+259+247+175+114+cases+varieties+hd 2967+super 231+hd 3086+propiconazole+fungicide",tribuneindia,10,yellow rust
76,05-03-20,https://www.thenews.com.pk/print/623934-wheat-crisis,Pakistan,N.W.F.P.,Peshawar,71.5632,33.9747,wheat+production+rust+fungus+varieties,thenews,10,yellow rust
77,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Dera Ghazi Kha,70.2345,30.0733,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
78,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Bahawalpur,71.7347,28.8124,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
